Regioni;Sessione 1;Sessione 2;Sessione 3;Sessione 4;Sessione 5;Sessione 6
Abruzzo;96,6;76,4;77,5;213,4;490,9;658,3
Basilicata;136,9;299;61,5;131,3;156,5;335,3
Calabria;179,9;171,8;146,7;257,3;280,9;266,2
Campania;131,6;101,7;154,5;310,1;447,9;589,7
Emilia-Romagna;208;181,4;205,2;295,3;584,1;987,7
Friuli-Venezia Giulia;153,2;113,7;175,5;570,9;1036,8;1340,8
Lazio;131,9;123,7;163,8;286,1;571,6;799,7
Liguria;101,1;116,9;95,8;140;594,8;902,2
Lombardia;98,8;75,6;82,3;140,9;416,5;723
Marche;156;141,9;96,8;198,3;483,1;832,7
Molise;75,6;43,2;37,8;151,2;302,4;367,2
Piemonte;104,8;82,5;97;148,9;330,4;702,3
P.A. Bolzano;357,2;274,6;223,2;576;1370,7;2109,6
P.A. Trento;100;100;114;211,7;283,8;686,2
Puglia;70,7;63,7;100,3;156,5;165;212,8
Sardegna;66,2;59,2;30,6;54,3;186,6;305,1
Sicilia;240,6;172,4;164,4;181,7;292,2;453,4
Toscana;199,9;158,7;155,2;302,5;382,5;549,8
Umbria;182,6;108,6;164,5;282,9;301;389,8
Valle d'Aosta;54,4;272,1;119,7;87,1;1055,8;1284,4
Veneto;207,2;170,5;207,7;321,4;687,3;1309,7
Italia;147,2;122,3;136,5;233,3;449,7;715,7
