Regione;Sessione 3;;Sessione 4;;Sessione 5;;Sessione 6;;Sessione 7;;Sessione 9;;Sessione 10;
;Monit.;Sorv;Monit.;Sorv;Monit.;Sorv;Monit.;Sorv;Monit.;Sorv;Monit.;Sorv.;Monit.;Sorv.
Abruzzo;80;77,5;74,2;213,4;310,1;490,9;450,5;658,3;444,4;821,2;1724,1;6182,8;1614,4;8374,4
Basilicata;0,0;61,5;0,0;131,3;0,0;156,5;0,0;335,3;-;774;-;2844,4;-;7692,1
Calabria;322,2;146,7;253;257,3;287,1;283,2;0,0;497,0;0,0;763,9;0,0;1231,4;1126,8;317,0
Campania;0,0;154,7;230,9;310,1;171,7;447,7;-;589,9;-;804,3;-;5050,0;-;1176,9
"Emilia-
Romagna";27,6;205,2;275,9;295,3;86,4;584,4;574,3;991,1;-;1486,4;-;6890,6;-;6100,9
"Friuli- Venezia
Giulia";90,3;175,5;83,8;570,9;365,8;1036,8;332,8;1358,1;671,1;1384,1;3947,4;3355,2;-;10440,7
Lazio;434,8;163,8;147,4;285,9;206,3;572,1;255,3;803,0;376,3;1146;1840,5;3952,0;2284,8;4142,4
Liguria;0,0;95,8;94,7;140;391,2;594,8;0,0;903,2;119,2;1495,9;2666,7;6272,0;-;6484,8
Lombardia;152,1;82,6;141,6;141,3;248,2;417,5;304,5;725,1;461,3;1151,9;-;6680,0;-;10387,1
Marche;0,0;96,8;0,0;198,3;0,0;483,1;0,0;833,6;-;968,0;-;3618,4;-;7329,6
Molise;0,0;37,8;0,0;151,2;-;302,4;-;367,2;-;145,8;-;3153,7;-;10419,1
Piemonte;148,3;97;44,7;147,9;258,5;329,7;501,6;702,3;1262,0;1220;-;5425,1;-;4298,5
"P.A.
Bolzano";0,0;223,2;234,2;580,4;0,0;1372,9;742,1;2145,3;566,6;1982,4;1403,5;817,1;-;8403,6
P.A. Trento;759,9;114;226,8;211,7;532,9;283,8;1879,7;686,2;1985,6;909,5;5640,2;5861,6;7692,3;6298,5
Puglia;0,0;100,6;175,4;157,3;237,8;166,4;183,3;217,1;-;433,4;-;5382,1;-;2441,9
Sardegna;-;30,6;0,0;54,3;78,4;186,6;0,0;308,1;136,3;567,8;-;1944,2;-;2565,6
Sicilia;406,8;163,9;167,5;181,7;178,4;292,0;399,8;454,2;455,3;682,1;0,0;1297,1;1369,9;9779,8
Toscana;162,2;157,9;229,5;304,9;147,9;385,2;347,6;552,9;381,7;921,3;2017,2;2628,4;1741,1;9427,3
Umbria;0,0;167,8;377,8;281,3;124,1;299,4;984,8;439,2;669,6;880,0;-;6087,9;-;7293,6
"Valle
d'Aosta";0,0;119,7;0,0;87,1;869,6;1055,8;4210,5;1284,4;2469,1;1023,2;2898,6;6748,7;-;8675,3
Veneto;90,6;207,7;59;321,4;96,6;687,3;382;1313,7;309,8;2028,2;5630,3;5630,3;-;9199,5
Italia;173,9;136,7;139,3;233,4;193,5;450,2;377,6;726,2;468,5;1086,5;2216,4;4748,8;1931,2;6995,0
